id,table,column,datatype,datatype_description,values,definitions,conditions
1,aw_data_civcas_incidents,id,int(11) unsigned,Whole number,,,
2,aw_data_civcas_incidents,post_id,int(11),Whole number,,,
3,aw_data_civcas_incidents,post_status,varchar(255),Text (short),draft ; publish,,
6,aw_data_civcas_incidents,permalink,varchar(255),Text (short),,,
7,aw_data_civcas_incidents,code,varchar(255),Text (short),,,
8,aw_data_civcas_incidents,previous_codes,varchar(255),Text (short),,,
9,aw_data_civcas_incidents,date_type,varchar(255),Text (short),date ; date_range,Date: Incident occurred on a single date ; Date range: Incident occurred over multiple days,
10,aw_data_civcas_incidents,date,date,Date,,"Date of the Incident, or start date of the incident when ‘Date range’ is selected",
11,aw_data_civcas_incidents,date_end,date,Date,,End date of the incident when ‘Date range’ is selected,incident_date_type = date_range
12,aw_data_civcas_incidents,local_time_type,varchar(255),Text (short),unknown ; exact ; approximate ; window ; first_reported ; approximate_time_of_day,Type of time of day reported by local sources given that precision varies ; Unknown: Unknown ; Exact: Sources indicate a precise time (e.g. 10am) ; Approximate: Sources indicate a time of day or window but there was no consensus ; Window: Sources indicate a time range (e.g. between 16:00 and 17:00) ; First reported: Timestamp according to the first published sources ; Approximate time of day: Sources describe a ‘time of day’ (e.g. morning),
13,aw_data_civcas_incidents,local_time,time,Time only,,,incident_local_time_type = exact OR incident_local_time_type = approximate
14,aw_data_civcas_incidents,local_time_start,time,Time only,,,incident_local_time_type = window
15,aw_data_civcas_incidents,local_time_end,time,Time only,,,incident_local_time_type = window
16,aw_data_civcas_incidents,local_time_of_day,varchar(255),Text (short),around_dawn ; around_midday ; around_dusk ; around_midnight ; after_midnight ; during_the_day ; during_the_night ; morning ; afternoon ; evening,,incident_local_time_type = approximate_time_of_day
17,aw_data_civcas_incidents,local_first_reported_date_time,datetime,Date and time,,,incident_local_time_type = first_reported
18,aw_data_civcas_incidents,local_first_reported_by,varchar(255),Text (short),,,
19,aw_data_civcas_incidents,local_first_reported_url,text,Text (long),,,
20,aw_data_civcas_incidents,country_slug,varchar(255),Text (short),,,
21,aw_data_civcas_incidents,location_name,text,Text (long),,,
22,aw_data_civcas_incidents,location_name_local,text,Text (long),,,
23,aw_data_civcas_incidents,region,varchar(255),Text (short),,The lowest administrative level in which the incident took place. Airwars maintains a set list of 'regions' per context. These lists may be provided upon request,
24,aw_data_civcas_incidents,strike_status_slug,varchar(255),Text (short),contested-strike ; declared-strike ; likely-strike ; single-source-claim ; unknown,"Grade indicating the degree to which sources reported the same belligerent(s) ; Contested strike: No consensus found in local reporting regarding the cause of civilian harm (e.g. the strike could have resulted either from Syrian regime or Russian forces) ; Declared strike: The belligerent themselves declared that the strike took place (in these cases, the full belligerent statement will be included in the assessment) ; Likely strike: Based on available material, there was consensus that the belligerent accused was the belligerent responsible for the strike ; Single source claim: Only one source claimed that the strike resulted from the actions of a single belligerent",
25,aw_data_civcas_incidents,strike_type_slug,varchar(255),Text (short),airstrike ; airstrike-and-or-artillery ; artillery ; counter-terrorism-action-ground ; drone-strike ; ground-operation ; naval-bombardment ; unknown,The method of military action or operation type,
